symbol,source,baseVolume,volumeMiniMove,priceMiniMove
key_usdt,okex,10,0.1,0.0001
light_btc,okex,10,1,1E-10
light_eth,okex,10,1,0.000000001
light_usdt,okex,10,1,0.000001
true_btc,okex,1,0.001,0.00000001
true_eth,okex,1,0.001,0.00000001
true_usdt,okex,1,0.001,0.0001
of_btc,okex,10,0.1,1E-10
of_eth,okex,10,0.1,1E-10
of_usdt,okex,10,0.1,0.000001
soc_btc,okex,10,0.01,0.00000001
soc_eth,okex,10,0.01,0.00000001
soc_usdt,okex,10,0.01,0.0001
wbtc_btc,okex,10,0.01,0.00000001
dent_btc,okex,10,0.1,0.00000001
dent_eth,okex,10,0.1,0.00000001
dent_usdt,okex,10,0.1,0.0001
zen_btc,okex,0.01,0.00001,0.00000001
zen_eth,okex,0.01,0.00001,0.00000001
zen_usdt,okex,0.01,0.00001,0.0001
hmc_btc,okex,10,0.01,0.00000001
hmc_eth,okex,10,0.01,0.00000001
hmc_usdt,okex,10,0.01,0.0001
zip_btc,okex,10,1,0.000000001
zip_eth,okex,10,1,0.00000001
zip_usdt,okex,10,1,0.000001
nano_btc,okex,0.1,0.0001,0.00000001
nano_eth,okex,0.1,0.0001,0.00000001
nano_usdt,okex,0.1,0.0001,0.0001
cic_btc,okex,10,0.1,0.00000001
cic_eth,okex,10,0.1,0.00000001
cic_usdt,okex,10,0.1,0.0001
gto_btc,okex,1,0.001,0.00000001
gto_eth,okex,1,0.001,0.00000001
gto_usdt,okex,1,0.001,0.0001
chat_btc,okex,10,0.01,0.00000001
chat_eth,okex,10,0.01,0.00000001
chat_usdt,okex,10,0.01,0.0001
insur_btc,okex,10,0.1,0.00000001
insur_eth,okex,10,0.1,0.00000001
insur_usdt,okex,10,0.1,0.0001
cbt_btc,okex,10,0.01,0.00000001
cbt_eth,okex,10,0.01,0.00000001
cbt_usdt,okex,10,0.01,0.0001
r_btc,okex,1,0.001,0.00000001
r_eth,okex,1,0.001,0.00000001
r_usdt,okex,1,0.001,0.0001
uct_btc,okex,10,0.01,0.00000001
uct_eth,okex,1,0.001,0.00000001
uct_usdt,okex,1,0.001,0.0001
bec_btc,okex,1,0.001,0.00000001
bec_eth,okex,1,0.001,0.00000001
bec_usdt,okex,1,0.001,0.0001
mith_btc,okex,1,0.001,0.00000001
mith_eth,okex,1,0.001,0.00000001
mith_usdt,okex,1,0.001,0.0001
abt_btc,okex,1,0.001,0.00000001
abt_eth,okex,1,0.001,0.00000001
abt_usdt,okex,1,0.001,0.0001
bkx_btc,okex,1,0.001,0.00000001
bkx_eth,okex,1,0.001,0.00000001
bkx_usdt,okex,1,0.001,0.0001
gtc_btc,okex,10,0.01,0.00000001
gtc_eth,okex,10,0.01,0.00000001
gtc_usdt,okex,10,0.01,0.0001
auto_btc,okex,10,0.1,0.00000001
auto_eth,okex,10,0.1,0.00000001
auto_usdt,okex,10,0.1,0.0001
gsc_btc,okex,10,0.01,0.00000001
gsc_eth,okex,10,0.01,0.00000001
gsc_usdt,okex,10,0.01,0.0001
rfr_btc,okex,10,0.1,0.00000001
rfr_eth,okex,10,0.1,0.00000001
rfr_usdt,okex,10,0.1,0.0001
trio_btc,okex,10,0.1,0.00000001
trio_eth,okex,10,0.1,0.00000001
trio_usdt,okex,10,0.1,0.0001
tra_btc,okex,10,0.1,0.00000001
tra_eth,okex,10,0.1,0.00000001
tra_usdt,okex,10,0.1,0.0001
ren_btc,okex,10,0.01,0.00000001
ren_eth,okex,10,0.01,0.00000001
ren_usdt,okex,10,0.01,0.0001
wfee_btc,okex,10,0.1,0.00000001
wfee_eth,okex,10,0.1,0.00000001
wfee_usdt,okex,10,0.1,0.0001
dadi_btc,okex,1,0.001,0.00000001
dadi_eth,okex,1,0.001,0.00000001
dadi_usdt,okex,1,0.001,0.0001
enj_btc,okex,10,0.01,0.00000001
enj_eth,okex,10,0.01,0.00000001
enj_usdt,okex,10,0.01,0.0001
ont_btc,okex,0.1,0.001,0.00000001
ont_eth,okex,0.1,0.001,0.00000001
ont_usdt,okex,0.1,0.001,0.0001
okb_usdt,okex,1,0.0001,0.0001
okb_btc,okex,1,0.0001,0.00000001
okb_eth,okex,1,0.0001,0.00000001
ltc_okb,okex,0.01,0.000001,0.0001
etc_okb,okex,0.01,0.00001,0.0001
bch_okb,okex,0.001,0.000001,0.0001
xrp_okb,okex,0.01,0.000001,0.0001
eos_okb,okex,0.01,0.000001,0.0001
qtum_okb,okex,0.01,0.000001,0.0001
dash_okb,okex,0.01,0.000001,0.0001
neo_okb,okex,0.01,0.000001,0.0001
iota_okb,okex,0.01,0.000001,0.0001
zec_okb,okex,0.01,0.000001,0.0001
ctxc_btc,okex,0.01,0.001,0.00000001
ctxc_eth,okex,0.01,0.001,0.00000001
ctxc_usdt,okex,0.01,0.001,0.0001
zil_btc,okex,1,0.001,0.00000001
zil_eth,okex,1,0.001,0.00000001
zil_usdt,okex,1,0.001,0.0001
you_okb,okex,10,0.00000001,0.00001
you_btc,okex,0.1,0.00000001,0.00000001
you_eth,okex,0.1,0.0001,0.00000001
you_usdt,okex,0.1,0.0001,0.00001
lba_okb,okex,0.1,0.001,0.0001
lba_btc,okex,0.1,0.0001,0.00000001
