createTime, updateTime, symbol, expiry, filledAmount, price, orderType, leverage, strategyTag, orderStatus, orderID, fillPrice
1549937400.0616715, 1549937400028, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 154993739900, 0.0
1549937402.0601373, 1549937402027, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 154993740101, 0.0
1549937405.1556406, 1549937405046, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 154993740402, 0.0
1549937405.158276, 1549937405121, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 154993740503, 0.0
1549937407.1398358, 1549937407038, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 154993740101, 0.0
1549937407.1423032, 1549937407106, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 154993739900, 0.0
1549937409.145307, 1549937409036, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 154993740806, 0.0
1549937409.1476562, 1549937409113, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 154993740907, 0.0
1549937410.1000547, 1549937410063, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 154993740907, 0.0
1549937411.1577246, 1549937411039, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 154993740806, 0.0
1549937411.1602395, 1549937411118, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 154993741110, 0.0
1549937412.1012416, 1549937412068, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 154993741211, 0.0
1549937415.4073622, 1549937415374, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 5, 154993740402, 0.0
1549937426.55278, 1549937425495, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 154993742513, 0.0
1549937426.5552244, 1549937425672, btc_pax, None, 0.007485, 0, 23, 1, smm1_btc, 3, 154993742513, 3566.99
1549937426.5577292, 1549937426519, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 5, 154993740503, 0.0
1549937428.4855967, 1549937428452, btc_pax, None, 0.8, 0, 23, 1, smm_btc, 4, 154993741110, 3569.08
1549937430.525328, 1549937430492, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 154993741211, 0.0
1549937431.6238737, 1549937431515, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 154993743116, 0.0
1549937431.6262846, 1549937431593, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 154993743117, 0.0
1549937432.6522772, 1549937432535, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 154993743116, 0.0
1549937432.656333, 1549937432619, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 154993743117, 0.0
1549937434.6266541, 1549937434520, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 154993743420, 0.0
1549937434.6293194, 1549937434596, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 154993743421, 0.0
1549937435.6616132, 1549937435541, btc_pax, None, 0.007485, 0, 23, 1, smm1_btc, 5, 154993742513, 0.0
1549937435.6663554, 1549937435630, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 154993743523, 0.0
1549937437.557575, 1549937437524, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 154993743421, 0.0
1549937438.558391, 1549937438525, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 154993743825, 0.0
1549937439.5469015, 1549937439514, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 154993743825, 0.0
1549937440.5609992, 1549937440528, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 154993744027, 0.0
