symbol, expiry, filledAmount, price, orderType, leverage, strategyTag, orderStatus, orderID, fillPrice
btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 154924301800, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 154924301801, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 154924301902, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 154924301903, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 154924301903, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 154924302405, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 154924302405, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 154924301902, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 154924302708, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 154924302709, 0.0
btc_pax, None, 0.12346, 0, 23, 1, smm1_btc, 3, 154924301800, 3419.19
btc_pax, None, 0.2, 0, 23, 1, smm1_btc, 4, 154924301800, 3419.19
btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 154924302708, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 154924325711, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 154924325711, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 154924325913, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 5, 154924301801, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 154924327115, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 154924327116, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 154924325913, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 154924327318, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 154924327318, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 154924327520, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 5, 154924327115, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 154924329122, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 154924327520, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 154924332324, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 154924332324, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 154924332526, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 154924302709, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 154924332828, 0.0
btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 5, 154924329122, 0.0
