createTime, updateTime, symbol, expiry, filledAmount, price, orderType, leverage, strategyTag, orderStatus, orderID, fillPrice
1550540163.3030028, 1550540163267, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054016300, 0.0
1550540167.374751, 1550540167273, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 155054016701, 0.0
1550540167.3773575, 1550540167343, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 155054016702, 0.0
1550540170.3768144, 1550540170277, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054017003, 0.0
1550540170.379027, 1550540170347, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155054016300, 0.0
1550540170.926617, 1550540170896, btc_pax, None, 0.2, 0, 23, 1, smm1_btc, 4, 155054016701, 3874.85
1550540173.294664, 1550540173263, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155054017003, 0.0
1550540179.3868535, 1550540179278, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054017906, 0.0
1550540179.3903632, 1550540179355, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054017907, 0.0
1550540182.3065774, 1550540182276, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155054017906, 0.0
1550540185.3888283, 1550540185287, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054018509, 0.0
1550540185.391396, 1550540185357, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155054017907, 0.0
1550540187.3078074, 1550540187276, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 5, 155054016702, 0.0
1550540188.355491, 1550540188324, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054018812, 0.0
1550540191.461519, 1550540191429, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155054018509, 0.0
1550540198.677451, 1550540197623, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 155054019714, 0.0
1550540198.680321, 1550540197698, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 155054019715, 0.0
1550540198.6828616, 1550540198645, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054019816, 0.0
1550540204.8896384, 1550540204859, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155054019816, 0.0
1550540209.2375429, 1550540208182, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 5, 155054019714, 0.0
1550540209.24096, 1550540208259, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 5, 155054019715, 0.0
1550540209.2460725, 1550540209203, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054020920, 0.0
1550540212.214516, 1550540212183, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155054018812, 0.0
1550540215.2840703, 1550540215180, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155054020920, 0.0
1550540215.286431, 1550540215253, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054021523, 0.0
1550540219.2425082, 1550540218183, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 155054021824, 0.0
1550540219.2451935, 1550540218257, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 155054021825, 0.0
1550540219.2476342, 1550540219210, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054021926, 0.0
1550540229.4990804, 1550540229466, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 5, 155054021825, 0.0
1550540237.5665278, 1550540237464, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155054021926, 0.0
1550540237.568873, 1550540237535, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155054021523, 0.0
1550540239.5832205, 1550540239474, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 5, 155054021824, 0.0
1550540239.585914, 1550540239551, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 155054023931, 0.0
1550540251.4794993, 1550540249493, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 155054024932, 0.0
1550540251.487451, 1550540250416, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 5, 155054023931, 0.0
1550540251.4901962, 1550540250520, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054025034, 0.0
1550540251.4952238, 1550540251446, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054025135, 0.0
1550540253.605061, 1550540253497, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155054025034, 0.0
1550540253.6074371, 1550540253571, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155054025135, 0.0
1550540260.647597, 1550540259510, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 5, 155054024932, 0.0
1550540260.6499634, 1550540259581, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 155054025939, 0.0
1550540260.6571383, 1550540260527, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054026040, 0.0
1550540260.6593614, 1550540260613, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054026041, 0.0
1550540263.6143312, 1550540263513, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155054026040, 0.0
1550540263.61708, 1550540263583, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155054026041, 0.0
1550540264.3130517, 1550540264283, btc_pax, None, 0.2, 0, 23, 1, smm1_btc, 4, 155054025939, 3875.96
1550540266.5500903, 1550540266518, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054026644, 0.0
1550540272.6219587, 1550540272522, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054027245, 0.0
1550540272.6244895, 1550540272589, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155054026644, 0.0
1550540275.6197488, 1550540275515, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155054027245, 0.0
1550540275.6224277, 1550540275589, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054027548, 0.0
1550540284.633171, 1550540284533, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054028449, 0.0
1550540284.6366596, 1550540284603, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155054027548, 0.0
1550540287.6325645, 1550540287529, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155054028449, 0.0
1550540287.6349056, 1550540287601, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054028752, 0.0
1550540289.5612411, 1550540289529, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 155054028953, 0.0
1550540294.5669246, 1550540294536, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054029454, 0.0
1550540299.636295, 1550540299532, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 5, 155054028953, 0.0
1550540299.638958, 1550540299604, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 155054029956, 0.0
1550540301.03159, 1550540301002, btc_pax, None, 0.094544, 0, 23, 1, smm1_btc, 3, 155054029956, 3879.65
1550540303.7449641, 1550540303545, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155054029454, 0.0
1550540303.7477908, 1550540303713, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155054028752, 0.0
1550540306.650567, 1550540306553, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054030659, 0.0
1550540306.6527915, 1550540306620, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054030660, 0.0
1550540310.6747475, 1550540309554, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 155054030961, 0.0
1550540310.6773183, 1550540309771, btc_pax, None, 0.023104, 0, 23, 1, smm1_btc, 3, 155054030961, 3877.66
1550540310.6797333, 1550540310577, btc_pax, None, 0.094544, 0, 23, 1, smm1_btc, 5, 155054029956, 0.0
1550540310.6831417, 1550540310643, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155054030660, 0.0
1550540314.6582005, 1550540314555, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155054030659, 0.0
1550540314.6620176, 1550540314624, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054031465, 0.0
1550540319.666833, 1550540319564, btc_pax, None, 0.023104, 0, 23, 1, smm1_btc, 5, 155054030961, 0.0
1550540319.6698878, 1550540319635, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 155054031967, 0.0
1550540323.6695511, 1550540323570, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054032368, 0.0
1550540323.672104, 1550540323639, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155054031465, 0.0
1550540330.6308146, 1550540329570, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 155054032970, 0.0
1550540330.6333582, 1550540329644, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 5, 155054031967, 0.0
1550540330.6358094, 1550540330598, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155054033072, 0.0
