symbol, expiry, amount, price, orderType, leverage, strategyTag, orderID, isCancel
btc_pax, None, 0.8, 3785.81, 21, 1, smm_btc, 155166858500, False
btc_pax, None, 0.8, 3786.7, 23, 1, smm_btc, 155166858501, False
pax_usdt, None, 8000.0, 1.0052, 21, 1, smm, 155166858602, False
pax_usdt, None, 8000.0, 1.006, 23, 1, smm, 155166858603, False
btc_pax, None, 0.8, 3786.7, 23, 1, smm_btc, 155166858501, True
pax_usdt, None, 8000.0, 1.0052, 21, 1, smm, 155166858602, True
pax_usdt, None, 1000.0, 1.0057, 21, 1, smm1, 155166858906, False
pax_usdt, None, 1000.0, 1.006, 23, 1, smm1, 155166858907, False
pax_usdt, None, 8000.0, 1.0047, 21, 1, smm, 155166858908, False
btc_pax, None, 0.8, 3786.56, 23, 1, smm_btc, 155166858909, False
btc_pax, None, 0.2, 3785.82, 21, 1, smm1_btc, 155166858910, False
btc_pax, None, 0.2, 3786.53, 23, 1, smm1_btc, 155166859011, False
pax_usdt, None, 8000.0, 1.006, 23, 1, smm, 155166858603, True
pax_usdt, None, 8000.0, 1.0059, 23, 1, smm, 155166859113, False
pax_usdt, None, 8000.0, 1.0047, 21, 1, smm, 155166858908, True
pax_usdt, None, 1000.0, 1.006, 23, 1, smm1, 155166858907, True
pax_usdt, None, 8000.0, 1.0048, 21, 1, smm, 155166859916, False
btc_pax, None, 0.8, 3786.56, 23, 1, smm_btc, 155166858909, True
pax_usdt, None, 8000.0, 1.0048, 21, 1, smm, 155166859916, True
pax_usdt, None, 8000.0, 1.0053, 21, 1, smm, 155166860819, False
pax_usdt, None, 1000.0, 1.0052, 21, 1, smm1, 155166860920, False
pax_usdt, None, 1000.0, 1.0056, 23, 1, smm1, 155166860921, False
btc_pax, None, 0.8, 3783.75, 23, 1, smm_btc, 155166860922, False
btc_pax, None, 0.8, 3768.22, 21, 1, smm_btc, 155166860923, False
btc_pax, None, 0.2, 3786.53, 23, 1, smm1_btc, 155166859011, True
btc_pax, None, 0.8, 3783.75, 23, 1, smm_btc, 155166860922, True
pax_usdt, None, 8000.0, 1.0059, 23, 1, smm, 155166859113, True
btc_pax, None, 0.8, 3783.65, 23, 1, smm_btc, 155166861327, False
pax_usdt, None, 8000.0, 1.0056, 23, 1, smm, 155166861328, False
btc_pax, None, 0.8, 3783.65, 23, 1, smm_btc, 155166861327, True
pax_usdt, None, 8000.0, 1.0053, 21, 1, smm, 155166860819, True
pax_usdt, None, 8000.0, 1.0054, 21, 1, smm, 155166861731, False
pax_usdt, None, 1000.0, 1.0056, 23, 1, smm1, 155166860921, True
pax_usdt, None, 8000.0, 1.0056, 23, 1, smm, 155166861328, True
pax_usdt, None, 8000.0, 1.0054, 21, 1, smm, 155166861731, True
pax_usdt, None, 8000.0, 1.0061, 23, 1, smm, 155166862235, False
pax_usdt, None, 7878.66, 1.0052, 21, 1, smm, 155166862236, False
btc_pax, None, 0.8, 3787.42, 23, 1, smm_btc, 155166862437, False
btc_pax, None, 0.8, 3768.22, 21, 1, smm_btc, 155166860923, True
btc_pax, None, 0.8, 3787.42, 23, 1, smm_btc, 155166862437, True
btc_pax, None, 0.8, 3775.59, 21, 1, smm_btc, 155166862540, False
btc_pax, None, 0.8, 3787.39, 23, 1, smm_btc, 155166862641, False
btc_pax, None, 0.8, 3787.39, 23, 1, smm_btc, 155166862641, True
btc_pax, None, 0.2, 3786.7, 21, 1, smm1_btc, 155166863043, False
btc_pax, None, 0.8, 3787.36, 23, 1, smm_btc, 155166863144, False
