createTime, updateTime, symbol, expiry, filledAmount, price, orderType, leverage, strategyTag, orderStatus, orderID, fillPrice
1551345848.3605537, 1551345848328, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155134584800, 0.0
1551345851.3730874, 1551345851335, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155134585101, 0.0
1551345854.443362, 1551345854332, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 155134585402, 0.0
1551345854.446288, 1551345854409, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 155134585403, 0.0
1551345857.715064, 1551345857677, btc_pax, None, 0.013678, 0, 23, 1, smm1_btc, 3, 155134585402, 3823.82
1551345857.8148136, 1551345857783, btc_pax, None, 0.027356, 0, 23, 1, smm1_btc, 3, 155134585402, 3823.82
1551345858.4393823, 1551345858334, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155134585101, 0.0
1551345858.443651, 1551345858406, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155134584800, 0.0
1551345859.5937502, 1551345859558, btc_pax, None, 0.047703, 0, 23, 1, smm1_btc, 3, 155134585402, 3823.82
1551345859.7175994, 1551345859681, btc_pax, None, 0.121846, 0, 23, 1, smm1_btc, 3, 155134585402, 3823.82
1551345861.1793423, 1551345861148, btc_pax, None, 0.199966, 0, 23, 1, smm1_btc, 3, 155134585402, 3823.82
1551345861.4655075, 1551345861353, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155134586106, 0.0
1551345861.4677987, 1551345861432, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155134586107, 0.0
1551345865.417207, 1551345864356, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 5, 155134585403, 0.0
1551345865.4208138, 1551345864429, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155134586106, 0.0
1551345865.4266531, 1551345865381, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155134586107, 0.0
1551345868.471079, 1551345868363, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155134586811, 0.0
1551345868.4738586, 1551345868440, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155134586812, 0.0
1551345870.6528409, 1551345870622, btc_pax, None, 0.2, 0, 23, 1, smm1_btc, 4, 155134585402, 3823.82
1551345874.4941947, 1551345874377, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 155134587413, 0.0
1551345874.4977734, 1551345874459, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155134586812, 0.0
1551345880.3639565, 1551345880332, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155134588015, 0.0
1551345887.133551, 1551345887026, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 155134588616, 0.0
1551345887.136132, 1551345887101, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 5, 155134587413, 0.0
1551345895.7241724, 1551345895693, btc_pax, None, 0.8, 0, 23, 1, smm_btc, 4, 155134588015, 3825.38
1551345901.084571, 1551345901046, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155134586811, 0.0
1551345904.1656418, 1551345904051, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155134590419, 0.0
1551345904.1678894, 1551345904130, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155134590420, 0.0
1551345908.559801, 1551345908441, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 5, 155134588616, 0.0
1551345908.5621028, 1551345908525, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 155134590822, 0.0
1551345912.4741392, 1551345912441, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155134590420, 0.0
1551345918.1517725, 1551345918121, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155134591824, 0.0
1551345919.2032049, 1551345919080, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 155134591925, 0.0
1551345919.20552, 1551345919162, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 5, 155134590822, 0.0
1551345922.9105735, 1551345922879, btc_pax, None, 0.040486, 0, 23, 1, smm_btc, 3, 155134590419, 3825.93
1551345923.0648284, 1551345922957, btc_pax, None, 0.040486, 0, 23, 1, smm_btc, 5, 155134590419, 0.0
1551345923.0681567, 1551345923031, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155134591824, 0.0
1551345924.6179523, 1551345924586, btc_pax, None, 0.2, 0, 23, 1, smm1_btc, 4, 155134591925, 3825.93
1551345926.7429469, 1551345925971, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155134592529, 0.0
1551345926.748159, 1551345926709, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155134592630, 0.0
1551345930.1134882, 1551345930009, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 155134592931, 0.0
1551345930.1157696, 1551345930078, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155134592529, 0.0
1551345935.306999, 1551345935203, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155134593533, 0.0
1551345935.309536, 1551345935273, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155134592630, 0.0
1551345938.4608996, 1551345938426, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155134593835, 0.0
1551345940.524342, 1551345940418, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 155134594036, 0.0
1551345940.5285664, 1551345940491, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 5, 155134592931, 0.0
1551345941.5638175, 1551345941437, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155134593533, 0.0
1551345941.5664248, 1551345941530, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155134593835, 0.0
1551345946.7782822, 1551345946668, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155134594640, 0.0
1551345946.7831573, 1551345946745, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155134594641, 0.0
1551345949.7027109, 1551345949671, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155134594640, 0.0
1551345950.7871614, 1551345950679, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 5, 155134594036, 0.0
1551345950.7912357, 1551345950753, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 155134595044, 0.0
1551345952.782463, 1551345952675, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155134595245, 0.0
1551345952.7858837, 1551345952747, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155134594641, 0.0
1551345955.786414, 1551345955671, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155134595245, 0.0
1551345955.790208, 1551345955751, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155134595548, 0.0
1551345958.9647658, 1551345958930, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 3, 155134595849, 0.0
1551345960.9658515, 1551345960931, btc_pax, None, 0.0, 0, 23, 1, smm1_btc, 3, 155134596050, 0.0
1551345961.9665332, 1551345961932, btc_pax, None, 0.0, 0, 23, 1, smm_btc, 5, 155134595849, 0.0
